projectid;CURRENT.DATE;simulationid;DevStage;TSUM;Yield;LAI;InterceptedPar
TestProject;01.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;02.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;03.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;04.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;05.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;06.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;07.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;08.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;09.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;10.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;11.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;12.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;13.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;14.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;15.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;16.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;17.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;18.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;19.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.0;0.0
TestProject;20.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.04835999999999999;0.04309881065523634
TestProject;21.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.04835999999999999;0.04309881065523634
TestProject;22.01.1987;TestProject_00__TESTSIMULATION;0.0;0.0;0.0;0.04835999999999999;0.020948824688095967
TestProject;23.01.1987;TestProject_00__TESTSIMULATION;0.0017985611510791368;1.25;0.0;0.04835999999999999;0.04369939129475855
TestProject;24.01.1987;TestProject_00__TESTSIMULATION;0.004244604316546762;2.9499999999999993;0.0;0.04835999999999999;0.017960221029521183
TestProject;25.01.1987;TestProject_00__TESTSIMULATION;0.004244604316546762;2.9499999999999993;0.0;0.04835999999999999;0.014371036731424194
TestProject;26.01.1987;TestProject_00__TESTSIMULATION;0.004244604316546762;2.9499999999999993;0.0;0.04835999999999999;0.02513858962571516
TestProject;27.01.1987;TestProject_00__TESTSIMULATION;0.008057553956834532;5.6;0.0;0.04835999999999999;0.01377045609190199
TestProject;28.01.1987;TestProject_00__TESTSIMULATION;0.008201438848920863;5.699999999999999;0.0;0.04835999999999999;0.031730677121423176
TestProject;29.01.1987;TestProject_00__TESTSIMULATION;0.010863309352517985;7.549999999999999;0.0;0.04835999999999999;0.03411870014047575
TestProject;30.01.1987;TestProject_00__TESTSIMULATION;0.01172661870503597;8.149999999999999;0.0;0.04835999999999999;0.009580691154282797
TestProject;31.01.1987;TestProject_00__TESTSIMULATION;0.012374100719424458;8.599999999999998;0.0;0.04835999999999999;0.04969089815094436
TestProject;01.02.1987;TestProject_00__TESTSIMULATION;0.012733812949640285;8.849999999999998;0.0;0.04835999999999999;0.05686926674713833
TestProject;02.02.1987;TestProject_00__TESTSIMULATION;0.012733812949640285;8.849999999999998;0.0;0.04835999999999999;0.04610171385284737
TestProject;03.02.1987;TestProject_00__TESTSIMULATION;0.012733812949640285;8.849999999999998;0.0;0.04835999999999999;0.07903355225331496
TestProject;04.02.1987;TestProject_00__TESTSIMULATION;0.012733812949640285;8.849999999999998;0.0;0.04835999999999999;0.06466251552189076
TestProject;05.02.1987;TestProject_00__TESTSIMULATION;0.012733812949640285;8.849999999999998;0.0;0.04835999999999999;0.023351147246184787
TestProject;06.02.1987;TestProject_00__TESTSIMULATION;0.012733812949640285;8.849999999999998;0.0;0.04835999999999999;0.01615847911095457
